,categoria,titulo
939,SAP,Problemas SAP web (25505)
941,SAP,error carga doctos SAP (28314)
943,SAP,problemas SAP (28915)
970,SAP,Acceso BPC (34615)
977,SAP,Desconexiones ocasionales en SAP (24119)
1070,SAP,RE: viáticos documento SAP (35240)
1085,SAP,viaticos sin sap (29708)
1089,SAP,RV: Nuevo Documento para visar FX N° 1900011509 Soc.: (38813)
1679,SAP,Proceso Transferencia SAP (39808)
4812,SAP,RE: PROBLEMAS PARA GUARDAR INFORMACIÓN (35360)
5443,SAP,RV: Problema en descarga de archivos SAP (34984)
9784,SAP,RE: Accesos BPC y EPM (26976)
9796,SAP,Error en SAP (30081)
11477,SAP,RV: El documento 2500109903 espera su aprobación (25211)
11478,SAP,RE: El documento 2500109962 espera su aprobación (25501)
11479,SAP,Acceso BPC (26826)
12487,SAP,RE: Problemas SAP - Acceso restringido - Cierre contable (29050)
16047,SAP,RV: El documento 6600103747 espera su aprobación (23460)
16138,SAP,RV: PROBLEMA EN EMITIR BOLETA (24937)
16179,SAP,Problemas con equipo (25079)
17315,SAP > Portal,RE: foto nuestranet (22623)
17363,SAP,Acceso a SAP (23506)
17854,SAP,Mensaje de Error en ingreso de Netting_ Factura electrónica (22607)
19299,SAP,RE: URGENTE Error Log traspaso SAP 13.06 (21063)
20314,SAP,SAP (19679)
21235,SAP,Error log SAP Notas LP-LN 01.06.2023 (19862)
21257,SAP,RV: Problema con ingreso de viáticos (19023)
21363,SAP,No aparece numero SAP al ingresar viáticos (19267)
23869,SAP,PROBLEMAS CON SAP (17290)
28496,SAP,Autorización Para Ejecutar Medidas en SAP (10506)
30007,SAP,Intermitencia de SAP (10110)
30186,SAP,Eliminación de registro de viáticos ''878707''. (9506)
30239,SAP,Generación de viatico no genera documento SAP. (9626)
30246,SAP,Carga de Vacaciones en SAP. (10480)
30553,SAP,Problemas con SAP. (10272)
31203,SAP,RV: SAP Inactivo (9896)
31989,SAP,RE: Solicita desactivar perfil de reeemplazo (9092)
32751,SAP,Sap (5590)
32820,SAP > Portal,Problemas portal Sap Empleados (7880)
32996,SAP,CAMBIARCLAVESAP (7611)
33346,SAP,Error SAP (4135)
33350,SAP,ERROR ENINGRESO AL SAP (4238)
33366,SAP,Problemas para ingresar a SAP (4988)
33374,SAP,error al cargar pagina de sap (5007)
33376,SAP,NO TENGO SAP (5014)
33424,SAP,SAP Sin Acceso (6688)
36291,SAP,RV: ViÃ¡ticos trabajos fuera de zona (112064)
36467,SAP,RE: CreaciÃ³n Programa de Inversiones - CICEQ/2026 (110866)
36529,SAP,RE: DefiniciÃ³n de Proyecto - EQ060/26 - Enerquinta (110865)
36627,SAP,[SAP] Cuenta 27310000 - Licitaciones no reflejo de IVA en CE (105360)
36642,SAP,RE: Solicitar cambio registro de trabajador a proveedor de personas que se indican (108550)
36645,SAP,Factura Netting (108988)
