Ticket,Real,Prediccion_SVM,Confianza,Accion
todos los sistemas lentos en oficina de quilpu,Telecomunicaciones,Soporte de Campo,0.38788846770672575,Agente IA
soporte me problema de acceso a aplicación,Soporte EO,Soporte de Campo,0.506182608234259,Agente IA
cambiodeclaveewm,DBA,Aplicaciones,0.376388314814981,Agente IA
cuenta alumno en practica,ABM,Soporte de Campo,0.4987468879417196,Agente IA
problemas en plataforma inmobiliria enerquinta urgente problema en produccin,DBA,Aplicaciones,0.6392215849802285,Agente IA
cambiarclaveopen,DBA,Aplicaciones,0.376388314814981,Agente IA
mantenedor de asientos  no transfiere asientos a sap urgente,Aplicaciones,Aplicaciones,0.6619463178394738,Agente IA
acceso cuenta electrolineraschilquintacl,Ingenieros TI,ABM,0.33798561533686416,Agente IA
sin acceso al correo,MDA,MDA,0.7439549517245329,Agente IA
levantamiento flujo de transferencia proyecto medida inteligente entel,Telecomunicaciones,Aplicaciones,0.4845639805177626,Agente IA
sap ti visar y aprobar eparedes,DBA,ABM,0.30335983568456426,Agente IA
urgente venir a edificio isla barón area de capacitación,Soporte de Campo,Soporte de Campo,0.37566381021590756,Agente IA
acceso sap  ticket 66779  lvaro arturo alarcn molina,DBA,ABM,0.5170721196991911,Agente IA
requerimiento identificacin de interrupciones monopolares mt ami,Aplicaciones,AMI,0.48859888720805394,Agente IA
perfil control de cambio,Técnico TI,Aplicaciones,0.2995717860536738,Agente IA
cambio de clave clevest,Técnico TI,Técnico TI,0.5926525520481949,Agente IA
sin ingreso a citrixelectric office,Aplicaciones,Soporte de Campo,0.7374678283579227,Agente IA
error al intentar abrir electric office,Soporte de Campo,Soporte de Campo,0.453140346663009,Agente IA
poweron no inicia por citrix,Aplicaciones,Aplicaciones,0.49390563938044174,Agente IA
soporte accesos a eo 98634,Soporte de Campo,ABM,0.3428287004454864,Agente IA
cambio de contrasea,MDA,MDA,0.6308918086827952,Agente IA
cambio de clave clevest,Técnico TI,Técnico TI,0.5926525520481949,Agente IA
sapdte contabilizacion factura estado,Aplicaciones,Aplicaciones,0.4221481405479623,Agente IA
credenciales meridian  ingesat,Técnico TI,ABM,0.5574615520912513,Agente IA
bot pac pat,DBA,Aplicaciones,0.5302869545664904,Agente IA
enrolamiento teléfonos en mobicontrol proyecto ami,Técnico TI,Técnico TI,0.6150028901749681,Agente IA
actualizacin cuentas accesosapetc,ABM,ABM,0.5143735716282576,Agente IA
re 20140403214637abmgrupalacceso scs plusxlsm,ABM,DBA,0.3491447987448391,Agente IA
correo rechazo por favor validar motivo,Ingenieros TI,Aplicaciones,0.29262319034619216,Agente IA
sistema de beneficios mdicos,MDA,MDA,0.44238765174906436,Agente IA
abmacceso a ignacio moncada  informacin requerida sistema de auditoria,ABM,ABM,0.24205207986125923,Agente IA
problemas con sap,Soporte de Campo,SAP,0.40412163001213575,Agente IA
creación vdi consultor crystalis,ABM,Ingenieros TI,0.449036397355058,Agente IA
solicitud de nueva cuenta de correo electrónico,ABM,ABM,0.45304648089744787,Agente IA
documento rechazado ce f 8645271,Aplicaciones,Aplicaciones,0.6943785435267662,Agente IA
error en portal sap,DBA,DBA,0.5084537305383826,Agente IA
solicitud de creacin nuevo rolgestionrespaldoselectrodependientes,Aplicaciones,ABM,0.5789291582893749,Agente IA
revisin de cuenta,Ingenieros TI,Soporte de Campo,0.4941619924386696,Agente IA
punto de red y telfono,Soporte de Campo,Telecomunicaciones,0.7370985546049283,Agente IA
tti  solicitud de cdigo fuente  servicio integracin venta de serviciod,Técnico TI,Técnico TI,0.6494529399125533,Agente IA
dba abm acceso auditores sgcc a open smartflex,ABM,ABM,0.5057078352684415,Agente IA
dar accesobmoragamgs web,ABM,ABM,0.5582895756420337,Agente IA
solicitud revisin archivos,Soporte de Campo,Aplicaciones,0.657729519985574,Agente IA
sap ti,Soporte EO,SAP,0.5662072707526625,Agente IA
verificar documento netting,Aplicaciones,Aplicaciones,0.7023196342508223,Agente IA
consulta cambio equipo movil,Telecomunicaciones,Telecomunicaciones,0.36717154112449274,Agente IA
problemas de acceso a open mobile marcelo hidalgo,DBA,ABM,0.3882243355113078,Agente IA
guia de despacho villa alemana a quilpue,Soporte de Campo,Soporte de Campo,0.7066590135646263,Agente IA
favor activar roaming,Telecomunicaciones,Telecomunicaciones,0.5835238169354376,Agente IA
